Bohuslavice u Zlína;49.1672;17.6360
Bohuslavice;49.1520;15.5801
Bohuslavice;49.6312;16.9597
Bohuslavice;49.8234;16.9348
Bohuslavice;49.9466;18.1316
Bohuslavice;50.3095;16.0834
Bohuslávky;49.5561;17.5655
Bohutice;48.9954;16.3510
Bohutín;49.6599;13.9482
Bohutín;49.9558;16.8784
Bohuňov;49.5651;16.2003
Bohuňov;49.5961;16.4623
Bohuňovice;49.6622;17.2780
Bohuňovice;49.9050;16.2459
Bohušice;49.0862;15.8458
Bohušov;50.2389;17.7117
Bohušovice nad Ohří;50.4922;14.1483
Bohy;49.9375;13.5758
Boháňka;50.3676;15.6993
Bojanov;49.8567;15.6929
Bojanovice;48.9604;15.9885
Bojanovice;49.8337;14.3175
Bojiště;49.6637;15.2921
Bojkovice;49.0433;17.8091
Bolatice;49.9569;18.0848
Boleboř;50.5551;13.4067
Bolehošť;50.2105;16.0839
Boleradice;48.9689;16.8176
Boletice;48.8598;14.0659
Bolešiny;49.4112;13.3637
Bolkov;49.5333;13.2221
Bor u Skutče;49.8261;16.1314
Bor;49.7327;12.7947
Borač;49.3999;16.3596
Bordovice;49.5449;18.1579
Borek;49.0282;14.5028
Borek;49.7964;15.5996
Borek;50.1343;15.8537
Borek;50.2146;14.6483
Borek;50.4466;15.6499
Boreč;50.4166;14.7228
Borkovany;49.0316;16.8233
Borkovice;49.2189;14.6492
Borohrádek;50.1074;16.0939
Borotice;48.8630;16.2406
Borotice;49.7430;14.2976
Borotín;49.5102;14.5945
Borotín;49.5857;16.6787
Borovany;48.8940;14.6548
Borovany;49.3417;14.3963
Borovnice;48.9112;14.5194
Borovnice;49.6508;15.0154
Borovnice;49.6615;16.1872
Borovnice;50.0590;16.2418
Borovnice;50.5120;15.6179
Borovnička;50.5041;15.6648
Borovno;49.6236;13.6997
Borovná;49.1689;15.3956
Borovník;49.3585;16.2344
Borovy;49.5217;13.2992
Borová Lada;48.9965;13.6810
Borová;49.7423;16.1570
Borová;50.3868;16.2528
Borušov;49.7801;16.7631
Bory;49.4237;16.0138
Boršice u Blatnice;48.9329;17.5712
Boršice;49.0602;17.3490
Boršov nad Vltavou;48.9240;14.4270
Boršov;49.3988;15.4339
Boseň;50.5142;15.0331
Boskovice;49.4986;16.6640
Boskovštejn;48.9823;15.9309
Boudy;49.4510;14.0259
Bousov;49.9035;15.5286
Bousín;49.4603;16.8807
Bouzov;49.6938;16.9013
Bozkov;50.6405;15.3383
Boňkov;49.5488;15.4439
Bořanovice;50.1851;14.4831
Bořenovice;49.3617;17.5632
Bořetice;48.9171;16.8551
Bořetice;49.4904;15.1029
Bořetín;49.1985;15.2078
Bořetín;49.3178;14.9436
Bořice;49.9835;15.9213
Bořislav;50.5822;13.9368
Bořitov;49.4327;16.5856
